year;name;boxOfficeId;twitter_mentions;won
2007;The Golden Compass;goldencompass;1;1
2006;The Good Shepherd;goodshepherd;0;0
2014;The Grand Budapest Hotel;grandbudapesthotel;704;1
2013;The Grandmaster;grandmasters;6;0
2013;The Great Beauty;greatbeauty;21;1
2013;The Great Gatsby;;78;1
2011;The Help;help2011;1332;1
2012;The Hobbit: An Unexpected Journey;hobbit;85;0
2014;The Hobbit: The Battle of the Five Armies;hobbit3;85;0
2013;The Hobbit: The Desolation of Smaug;hobbit2;85;0
2002;The Hours;hours;190;1
2013;The Hunt;hunt2013;260;0
2009;The Hurt Locker;hurtlocker;21;1
2011;The Ides of March;idesofmarch;0;0
2006;The Illusionist;illusionist;0;0
2009;The Imaginarium of Doctor Parnassus;imaginariumofdoctorparnassus;0;0
2014;The Imitation Game;imitationgame;613;1
2012;The Impossible;impossible;35;0
2004;The Incredibles;incredibles;3;1
2013;The Invisible Woman;invisiblewoman;1;0
2011;The Iron Lady;ironlady;5;1
2014;The Judge;judge;188;0
2010;The Kids Are All Right;kidsareallright;4;0
2006;The Last King of Scotland;lastkingofscotland;1;1
2003;The Last Samurai;lastsamurai;1;0
2009;The Last Station;thelaststation;0;0
2006;The Lives of Others;livesofothers;0;1
2013;The Lone Ranger;loneranger;11;0
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;22;1
2003;The Lord of the Rings: The Return of the King;returnoftheking;22;1
2002;The Lord of the Rings: The Two Towers;twotowers;22;1
2009;The Lovely Bones;lovelybones;1;0
2002;The Man without a Past;;0;0
2012;The Master;themaster;261;0
2009;The Messenger;messenger09;22;0
2009;The Milk of Sorrow;milkofsorrow;0;0
2013;The Missing Picture;missingpicture;0;0
2004;The Motorcycle Diaries;motorcyclediaries;0;0
2005;The New World;newworld;7;0
2004;The Passion of the Christ;passionofthechrist;0;0
2000;The Patriot;patriot;68;0
2000;The Perfect Storm;perfectstorm;1;0
2004;The Phantom of the Opera;phantomoftheopera;2;0
2002;The Pianist;pianist;22;1
2004;The Polar Express;polarexpress;1;0
2006;The Prestige;prestige;8;0
2006;The Pursuit of Happyness;pursuitofhappyness;5;0
2006;The Queen;queen;712;1
2002;The Quiet American;quietamerican;0;0
2008;The Reader;reader;33;1
2001;The Royal Tenenbaums;royaltenenbaums;1;0
2007;The Savages;savages;4;0
2004;The Sea Inside;seainside;0;1
2009;The Secret in Their Eyes;secretintheireyes;16;1
2012;The Sessions;sixsessions;54;0
2010;The Social Network;socialnetwork;58;1
2005;The Squid and the Whale;squidandthewhale;0;0
2000;The Taste of Others;tasteofothers;0;0
2010;The Tempest;tempest10;7;0
2014;The Theory of Everything;theoryofeverything;488;1
2002;The Time Machine;timemachine;5;0
2010;The Town;town10;339;0
2011;The Tree of Life;treeoflife;3;0
2003;The Twilight Samurai;;0;0
2008;The Visitor;visitor08;14;0
2010;The Way Back;wayback;14;0
2009;The White Ribbon;whiteribbon;0;0
2013;The Wolf of Wall Street;wolfofwallstreet;548;0
2010;The Wolfman;wolfman;0;1
2008;The Wrestler;wrestler;14;0
2009;The Young Victoria;youngvictoria;0;1
2007;There Will Be Blood;therewillbeblood;11;1
2003;Thirteen;thirteen;4;0
2014;Timbuktu;timbuktu;7;0
2011;Tinker Tailor Soldier Spy;;1;0
2010;Toy Story 3;toystory3;43;0
2000;Traffic;traffic;1731;1
2001;Training Day;trainingday;18;1
2005;Transamerica;transamerica;0;0
2007;Transformers;transformers06;7;0
2011;Transformers: Dark of the Moon;transformers3;7;0
2010;Tron: Legacy;;513;0
2008;Tropic Thunder;tropicthunder;5;0
2004;Troy;troy;262;0
2010;True Grit;truegrit2010;12;0
2005;Tsotsi;tsotsi;0;1
2003;Twin Sisters;;0;0
2014;Two Days, One Night;twodaysonenight;20;0
2000;U-571;u-571;0;1
2014;Unbroken;unbroken;58;0
2002;Unfaithful;unfaithful;0;0
2006;United 93;united93;0;0
2010;Unstoppable;unstoppable;13;0
2009;Up in the Air;upintheair;16;0
2000;Vatel;vatel;2;0
2006;Venus;venus;10;0
2004;Vera Drake;veradrake;2;0
2008;Vicky Cristina Barcelona;vickycristinabarcelona;1;1
2006;Volver;volver;100;0
2011;W.E.;wemadonna;0;0
2005;Walk the Line;walktheline;6;1
2008;WALL-E;wall-e;8;0
2008;Waltz with Bashir;waltzwithbashir;0;0
2008;Wanted;wanted;212;0
2011;War Horse;warhorse;7;0
2005;War of the Worlds;waroftheworlds;1;0
2012;War Witch;warwitch;0;0
2011;Warrior;warrior10;50;0
2006;Water;water06;167;0
2003;Whale Rider;whalerider;0;0
2014;Whiplash;whiplash;1443;1
2014;Wild Tales;wildtales;6;0
2000;Wonder Boys;wonderboys;0;0
2014;X-Men: Days of Future Past;xmen2014;35;0
2002;Y Tu Mamá También;;1;0
2000;You Can Count on Me;youcancountonme;0;0
2003;Zelary;zelary;0;0
2012;Zero Dark Thirty;binladen;93;1
2002;Zus & Zo;zusandzo;0;0
