year;name;boxOfficeId;won;twitter_mentions
2003;The Twilight Samurai;;0;0
2003;Twin Sisters;;0;47
2003;Zelary;zelary;0;0
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;842
2003;Master and Commander: The Far Side of the World;masterandcommander;0;48
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;0;1017
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;842
2003;Lost in Translation;lostintranslation;0;1364
2003;Master and Commander: The Far Side of the World;masterandcommander;0;48
2003;Mystic River;mysticriver;0;1862
2003;Seabiscuit;seabiscuit;0;969
2003;Finding Nemo;findingnemo;0;23099
2003;Master and Commander: The Far Side of the World;masterandcommander;1;48
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;0;1017
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;842
2003;Master and Commander: The Far Side of the World;masterandcommander;0;48
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;0;1017
2003;American Splendor;americansplendor;0;6
2003;City of God;cityofgod;0;910
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;842
2003;Mystic River;mysticriver;0;1862
2003;Seabiscuit;seabiscuit;0;969
2003;The Barbarian Invasions;barbarianinvasions;0;4
2003;Dirty Pretty Things;dirtyprettythings;0;222
2003;Finding Nemo;findingnemo;0;23099
2003;In America;inamerica;0;23534
2003;Lost in Translation;lostintranslation;1;1364
2004;Hotel Rwanda;hotelrwanda;0;630
2004;Finding Neverland;findingneverland;0;808
2004;The Aviator;aviator;0;498
2004;Million Dollar Baby;milliondollarbaby;0;1161
2004;Ray;ray;1;2281009
2004;The Aviator;aviator;0;498
2004;Sideways;sideways;0;7001
2004;Collateral;collateral;0;347
2004;Million Dollar Baby;milliondollarbaby;1;1161
2004;Closer;closer;0;8172
2004;Being Julia;beingjulia;0;0
2004;Maria Full of Grace;mariafullofgrace;0;2
2004;Vera Drake;veradrake;0;35
2004;Million Dollar Baby;milliondollarbaby;1;1161
2004;Eternal Sunshine of the Spotless Mind;eternalsunshine;0;1638
2004;The Aviator;aviator;1;498
2004;Kinsey;kinsey;0;912
2004;Sideways;sideways;0;7001
2004;Hotel Rwanda;hotelrwanda;0;630
2004;Closer;closer;0;8172
2004;The Aviator;aviator;1;498
2004;Finding Neverland;findingneverland;0;808
2004;The Phantom of the Opera;phantomoftheopera;0;73
2004;A Very Long Engagement;verylongengagement;0;1
2004;The Aviator;aviator;1;498
