year;name;boxOfficeId;won;twitter_mentions
2001;Sexy Beast;sexybeast;0;847
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Ali;ali;0;3450554
2001;Iris;iris;0;97468
2001;Moulin Rouge;;0;6287
2001;In the Bedroom;inthebedroom;0;1762
2001;A Beautiful Mind;beautifulmind;1;1416
2001;Gosford Park;gosfordpark;0;75
2001;Gosford Park;gosfordpark;0;75
2001;In the Bedroom;inthebedroom;0;1762
2001;Iris;iris;0;97468
2001;Amélie;;0;2010
2001;Gosford Park;gosfordpark;0;75
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Moulin Rouge;;1;6287
2001;Amélie;;0;2010
2001;Black Hawk Down;blackhawkdown;0;1314
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;1;2530
2001;Moulin Rouge;;0;6287
2001;The Affair of the Necklace;affairofthenecklace;0;1
2001;Gosford Park;gosfordpark;0;75
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Moulin Rouge;;1;6287
2001;A Beautiful Mind;beautifulmind;1;1416
2001;Black Hawk Down;blackhawkdown;0;1314
2001;Gosford Park;gosfordpark;0;75
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Mulholland Drive;mulhollanddrive;0;610
2001;A Beautiful Mind;beautifulmind;0;1416
2001;Black Hawk Down;blackhawkdown;1;1314
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Memento;memento;0;7965
2001;Moulin Rouge;;0;6287
2001;Amélie;;0;2010
2001;Elling;elling;0;169600
2001;Lagaan;lagaan;0;512
2001;Son of the Bride;sonofthebride;0;0
2001;A Beautiful Mind;beautifulmind;0;1416
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;1;2530
2001;A Beautiful Mind;beautifulmind;1;1416
2001;Gosford Park;gosfordpark;0;75
2001;In the Bedroom;inthebedroom;0;1762
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Moulin Rouge;;0;6287
2001;Black Hawk Down;blackhawkdown;1;1314
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Pearl Harbor;pearlharbor;0;782
2001;Monsters, Inc.;monstersinc;0;415
2001;Pearl Harbor;pearlharbor;1;782
2001;A.I. Artificial Intelligence;ai;0;18
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;1;2530
2001;Pearl Harbor;pearlharbor;0;782
2001;A Beautiful Mind;beautifulmind;1;1416
2001;Ghost World;ghostworld;0;24
2001;In the Bedroom;inthebedroom;0;1762
2001;The Lord of the Rings: The Fellowship of the Ring;fellowshipofthering;0;2530
2001;Shrek;shrek;0;4326
2001;Gosford Park;gosfordpark;1;75
2001;Memento;memento;0;7965
2001;The Royal Tenenbaums;royaltenenbaums;0;288
2002;The Pianist;pianist;1;2077
2002;Adaptation;;0;2537
2002;The Quiet American;quietamerican;0;4
2003;Mystic River;mysticriver;0;1906
2003;City of God;cityofgod;0;959
2003;Cold Mountain;coldmountain;0;79
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Master and Commander: The Far Side of the World;masterandcommander;0;63
2003;Seabiscuit;seabiscuit;0;1034
2003;The Barbarian Invasions;barbarianinvasions;1;5
2003;Evil;;0;201649
2003;The Twilight Samurai;;0;1
2003;Twin Sisters;;0;235
2003;Zelary;zelary;0;1
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Master and Commander: The Far Side of the World;masterandcommander;0;63
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;0;1359
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Lost in Translation;lostintranslation;0;1690
2003;Master and Commander: The Far Side of the World;masterandcommander;0;63
2003;Mystic River;mysticriver;0;1906
2003;Seabiscuit;seabiscuit;0;1034
2003;Finding Nemo;findingnemo;0;23468
2003;Master and Commander: The Far Side of the World;masterandcommander;1;63
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;0;1359
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Master and Commander: The Far Side of the World;masterandcommander;0;63
2003;Pirates of the Caribbean: The Curse of the Black Pearl;piratesofthecaribbean;0;1359
2003;American Splendor;americansplendor;0;8
2003;City of God;cityofgod;0;959
2003;The Lord of the Rings: The Return of the King;returnoftheking;1;2530
2003;Mystic River;mysticriver;0;1906
2003;Seabiscuit;seabiscuit;0;1034
2003;The Barbarian Invasions;barbarianinvasions;0;5
2003;Dirty Pretty Things;dirtyprettythings;0;225
2003;Finding Nemo;findingnemo;0;23468
2003;In America;inamerica;0;51807
2003;Lost in Translation;lostintranslation;1;1690
2004;Hotel Rwanda;hotelrwanda;0;638
2004;Finding Neverland;findingneverland;0;834
2004;The Aviator;aviator;0;3664
2004;Million Dollar Baby;milliondollarbaby;0;1229
2004;Ray;ray;1;3322806
2004;The Aviator;aviator;0;3664
2004;Sideways;sideways;0;9171
2004;Collateral;collateral;0;788
2004;Million Dollar Baby;milliondollarbaby;1;1229
2004;Closer;closer;0;36856
2004;Being Julia;beingjulia;0;4
2004;Maria Full of Grace;mariafullofgrace;0;2
2004;Vera Drake;veradrake;0;36
2004;Million Dollar Baby;milliondollarbaby;1;1229
2004;Eternal Sunshine of the Spotless Mind;eternalsunshine;0;1704
2004;The Aviator;aviator;1;3664
2004;Kinsey;kinsey;0;1745
2004;Sideways;sideways;0;9171
2004;Hotel Rwanda;hotelrwanda;0;638
2004;Closer;closer;0;36856
2004;The Aviator;aviator;1;3664
2004;Finding Neverland;findingneverland;0;834
2004;The Phantom of the Opera;phantomoftheopera;0;317
2004;A Very Long Engagement;verylongengagement;0;3
2004;The Aviator;aviator;1;3664
2004;House of Flying Daggers;houseofflyingdaggers;0;8
2004;The Passion of the Christ;passionofthechrist;0;125
2004;The Phantom of the Opera;phantomoftheopera;0;317
2004;A Very Long Engagement;verylongengagement;0;3
2004;The Aviator;aviator;1;3664
2004;Finding Neverland;findingneverland;0;834
2004;Ray;ray;0;3322806
2004;Troy;troy;0;80032
2004;The Aviator;aviator;0;3664
2004;Million Dollar Baby;milliondollarbaby;1;1229
2004;Ray;ray;0;3322806
2004;Sideways;sideways;0;9171
2004;Vera Drake;veradrake;0;36
2004;The Aviator;aviator;1;3664
2004;Collateral;collateral;0;788
2004;Finding Neverland;findingneverland;0;834
2004;Million Dollar Baby;milliondollarbaby;0;1229
2004;Ray;ray;0;3322806
2004;As It Is in Heaven;;0;41
2004;The Chorus (Les Choristes);;0;0
2004;Downfall;downfall;0;2506
2004;The Sea Inside;seainside;1;11
2004;Yesterday;;0;159694
2004;The Passion of the Christ;passionofthechrist;0;125
2004;The Sea Inside;seainside;0;11
2004;The Aviator;aviator;0;3664
2004;Finding Neverland;findingneverland;0;834
2004;Million Dollar Baby;milliondollarbaby;1;1229
2004;Ray;ray;0;3322806
2004;Sideways;sideways;0;9171
2004;The Incredibles;incredibles;1;7600
2004;The Polar Express;polarexpress;0;686
2004;Spider-Man 2;spiderman2;0;1508
2004;Harry Potter and the Prisoner of Azkaban;harrypotter3;0;130
2004;I, Robot;irobot;0;96
2004;Spider-Man 2;spiderman2;1;1508
2004;Before Sunset;beforesunset;0;111
2004;Finding Neverland;findingneverland;0;834
2004;Million Dollar Baby;milliondollarbaby;0;1229
2004;The Motorcycle Diaries;motorcyclediaries;0;12
2004;Sideways;sideways;1;9171
2004;The Aviator;aviator;0;3664
2004;Eternal Sunshine of the Spotless Mind;eternalsunshine;1;1704
2004;Hotel Rwanda;hotelrwanda;0;638
2004;The Incredibles;incredibles;0;7600
2004;Vera Drake;veradrake;0;36
2005;Capote;capote;1;8537
2005;Hustle & Flow;;0;0
2005;Brokeback Mountain;brokebackmountain;0;2176
2005;Walk the Line;walktheline;0;338
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;32
2005;Syriana;syriana;1;1637
2005;Crash;crash05;0;280406
2005;Cinderella Man;cinderellaman;0;106
2005;Brokeback Mountain;brokebackmountain;0;2176
2005;A History of Violence;historyofviolence;0;33
2005;Mrs. Henderson Presents;mrshendersonpresents;0;1
2005;Transamerica;transamerica;0;303
2005;Pride & Prejudice;;0;0
2005;North Country;northcountry;0;123
2005;Walk the Line;walktheline;1;338
2005;Junebug;junebug;0;503
2005;Capote;capote;0;8537
2005;North Country;northcountry;0;123
2005;The Constant Gardener;constantgardener;1;19
2005;Brokeback Mountain;brokebackmountain;0;2176
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;32
2005;Harry Potter and the Goblet of Fire;harrypotter4;0;81
2005;King Kong;kingkong05;0;1131
2005;Memoirs of a Geisha;memoirsofageisha;1;21
2005;Pride & Prejudice;;0;0
2005;Batman Begins;batmanbegins;0;452
2005;Brokeback Mountain;brokebackmountain;0;2176
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;32
2005;Memoirs of a Geisha;memoirsofageisha;1;21
2005;The New World;newworld;0;3349
2005;Charlie and the Chocolate Factory;charliechocolate;0;2241
2005;Memoirs of a Geisha;memoirsofageisha;1;21
2005;Mrs. Henderson Presents;mrshendersonpresents;0;1
2005;Pride & Prejudice;;0;0
2005;Walk the Line;walktheline;0;338
2005;Brokeback Mountain;brokebackmountain;1;2176
2005;Capote;capote;0;8537
2005;Crash;crash05;0;280406
2005;Good Night, and Good Luck.;goodnightandgoodluck;0;32
2005;Munich;munich;0;165156
